state,tier,url,note
Punjab,district,https://rupnagar.nic.in/gram-panchayat-election-2024-reservation-list/,2024 GP election sarpanch reservation by block
Punjab,district,https://muktsar.nic.in/gram-panchayat-election-2024-reservation-list-block-wise/,2024 sarpanch and panch reservation by block
Punjab,district,https://ferozepur.nic.in/category-wise-gram-panchayat-for-election-2024/,category-wise GP list 2024
Maharashtra,district,https://washim.gov.in/en/notice/gram-panchayat-general-election-2020-2025-reservation-for-the-post-of-gram-panchayat-sarpanch-and-post-of-women-sarpanch/,2020-25 sarpanch and women sarpanch reservation
Maharashtra,state,https://mahasec.maharashtra.gov.in/,SEC portal; has an on-going Gram Panchayats document list
Chhattisgarh,district,https://raigarh.gov.in/en/notice/general-notice-for-reservation-in-panchayat-elections/,2024-25 panchayat reservation notice
Chhattisgarh,district,https://bilaspur.gov.in/en/notice/,district notice board; 2024-25 three-tier panchayat election
Madhya Pradesh,district,https://indore.nic.in/,district portal reachable; locate panchayat reservation notices
Madhya Pradesh,state,https://mplocalelection.gov.in/,SEC local election portal; unverified from here
Andhra Pradesh,district,https://guntur.ap.gov.in/,district portal reachable; 2020 GP reservation gazettes
Andhra Pradesh,state,https://apsec.gov.in/,SEC portal; unverified from here
Odisha,state,https://sec.odisha.gov.in/,SEC portal; unverified from here
Gujarat,state,https://sec.gujarat.gov.in/,SEC portal; unverified from here
Gujarat,state,https://panchayat.gujarat.gov.in/en/grampanchayat-distlist,GP directory by district; unverified from here
Tamil Nadu,state,https://tnsec.tn.gov.in/,SEC portal; rural local body reservation; unverified from here
Himachal Pradesh,state,https://sec.hp.gov.in/,SEC portal; unverified from here
Assam,state,https://sec.assam.gov.in/,SEC portal; unverified from here
All India,national,https://egramswaraj.gov.in/ElectedRepresentativeReport.do,national elected representative report; unverified from here
